0	(re)zip	Booth: N2046	['Austin,', 'TX', 'United States']	Rezip Co. designs thoughtful products to help  consumers live a simpler, greener lifestyle. (re)zip® Reusable Storage Bags are the original  food-safe, lightweight, leakproof, freezer-safe  reusable bags. They are designed to simplify  food storage, and make it easy  for consumers to consciously reduce single-use  plastic baggies. (re)zip Reusable Storage Bags  are available in an assortment of sizes and styles  to accommodate a variety of uses including food  prep, pantry storage, organization, and more	Brands: Rezip	['Home', 'Pet', 'Special Attributes']	[['Household Supplies', 'Kitchen & Dining', 'Miscellaneous'], ['Pet Food - Cat', 'Pet Food - Dog'], ['Sustainability']]
62	AHF Vitamins	Booth: 4076	['Hauppauge,', 'NY', 'United States']	AHF is a fast growing company with a brand new state-of-the-art facility dedicated to contract manufacturing, private labeling and innovation services. AHF offers custom formulation development, analytical & physical testing, Least Cost Sourcing Analysis, pilot plant prototype development and versatile packaging solutions. AHF also offers custom formulations with our proprietary SEDDS technology, a cutting-edge system which increases the bio-availability of nutrients in dietary supplements.	N/A	['Packaging', 'Services']	[['Capsules', 'Other'], ['Analytical Laboratories', 'Contract Manufacturing']]
63	Air Products & Chemicals, Inc.	Booth: 1895	['Allentown,', 'PA', 'United States']	Providing food freezing, chilling, grinding and preservation solutions. Whether your Modified Atmosphere Packaging (MAP), grinding, cooling, chilling or freezing applications include bakery goods, fruit and vegetables, poultry, meats, ready meals or anything in-between, Air Products' Freshline® solutions offer you high-purity gases and equipment, international supply capability, and - most importantly - unmatched industry experience and technical support to help you succeed.	Brands: Food grade liquid nitrogen and carbon dioxide (N2 & CO2), a full-line of Freshline Freezing/Solution Equipment, Grinding Solutions and Modified Atmosphere Packaging (MAP)	['Packaging']	[['Packaging Material']]
64	Airlite Plastics	Booth: N1423	['Omaha,', 'NE', 'United States']	Airlite Plastics is a privately held, family owned and operated manufacturer of performance packaging. Headquartered in Omaha, Nebraska and founded in 1946, the Airlite product portfolio has expanded to now consist of in-mold labeled and printed containers and lids for the food industry, drink cups, scoops, insulated shippers, permeable pavers, insulated concrete form (ICF) building blocks, cosmetic packaging and other custom plastic products. Visit airliteplastics.com for more information	Brands: Measurex- stock plastic scoops, Kodiakooler- insulated shipping coolers, Truegrid- permeable pavers, Fox Blocks- insulated concrete forms, Cosmetic Specialties International- single and double wall, decorated plastic jars	['Packaging']	[['Other', 'Packaging Material', 'Plastic Products', 'Recycled Products']]
65	Aiya Matcha	Booth: 5215	['Torrance,', 'CA', 'United States']	Family owned and operated since 1888, Aiya Matcha is the largest producer of premium Japanese Matcha green tea. Based in Nishio, Japan, Aiya oversees all phases of the Matcha production process from seed to bowl. With a spotless product recall record of over 130 years, Aiya is committed to providing high-quality organic and conventional Matcha to the world. All of Aiya's pure Matcha products are Non-GMO Project Verified, Gluten-Free, and Kosher certified. Taste the difference at booth 1644!	N/A	['Raw Ingredients', 'Special Attributes']	[['**flavors', 'Proteins/Amino Acids'], ['Functional Beverage', 'Functional Food', 'Kosher/Parve', 'Specialty/Gourmet']]
66	Akash Agro Industries LLC	Booth: 2101	['Sheridan,', 'WY', 'United States']	N/A	N/A	[]	[]
67	Aker BioMarine	Booth: 4157	['Renton,', 'WA', 'United States']	N/A	Brands: Superba Krill is Aker BioMarine’s brand name for krill oil products for the human market. Superba Krill oil is rich in Omega-3s,  phospholipids, choline and the antioxidant astaxanthin.	['Raw Ingredients', 'Supplements']	[['Fats & Oils', 'Omega-3'], ['Eye Health Supplements', 'Fitness & Weight Management', 'Glucosamine & Joint Health', 'Hair, Skin & Nail Supplements', 'Omegas, Fish Oil & EFAs']]
68	Aki Foods Japan	Booth: N2311, N2313	['Walnut,', 'CA', 'United States']	N/A	N/A	[]	[]
69	AL BARAKAH DATES - FOODLINKS	Booth: 2085	['DUBAI,', 'United Arab Emirates']	Al Barakah Dates is the worlds largest privately owned date factory and is a market leader in the packaging and processing of whole dates and ingredients made from 100% natural dates. Our 200,000 square foot facility located in Dubai Industrial City, U.A.E. is the definition of technological advancement and automation. From our BRC, Halal, Kosher and Sedex accredited facility we export to over 53 countries, cold store more than 40,000 metric tons and process over 40,000  metric tons of dates.	Brands: Al Barakah Date Paste, Al Barakah Date Syrup, Al Barakah Date Powder, Al Barakah Diced Dates, Al Barakah Liquid Sugar	['Raw Ingredients', 'Special Attributes', 'Bakery', 'Baking & Cooking Ingredients', 'Beverages', 'Breakfast', 'Condiments & Sauces']	[['Sugar'], ['Functional Food'], ['Muffins', 'Pastries & Scones', 'Rolls', 'Waffles'], ['Sugar Substitutes & Sweeteners'], ['Powdered Drink Mixes', 'Smoothies'], ['Breakfast Bars', 'Cereal', 'Granola', 'Muesli'], ['Salad Dressings', 'Salad Toppings']]
70	AL WAHAB RICE MILLS PVT LTD	Booth: 2237	['Gujranwala,', 'Pakistan']	N/A	N/A	[]	[]
71	Alamance Foods	Booth: 5765	['Burlington,', 'NC', 'United States']	N/A	N/A	['Dairy & Eggs', 'Special Attributes']	[['Cream'], ['Convenience', 'Dairy Free', 'Flavorings', 'Food Service Ready']]
72	AlaskOmega / Wiley Companies	Booth: 3525	['Coshocton,', 'OH', 'United States']	Wiley Companies manufactures a full range of MSC-certified AlaskOmega omega-3 concentrates and natural fish oils from their family owned and operated certified GMP facility in Ohio. Staying with their mission of developing innovative products that make the world’s population healthier, the brand recently launched a high-potency omega-3 concentrate powder. Celebrating its 40th year is business, Wiley Companies is both ISO 9001:2015 and FSSC 22000 registered for certification.	Brands: AlaskOmega® omega-3 fish oil concentrates	['Raw Ingredients']	[['Branded Ingredients', 'Fats & Oils']]
73	Albanese Confectionery Group, Inc.	Booth: N2014	['Merrillville,', 'IN', 'United States']	Albanese Confectionery is the leading manufacturer of the World's Best Gummies located in the heart of the Midwest!  By combining natural flavors and colors from real fruits, vegetables, and superfoods with our signature texture, the World's Best created the ULTIMATE™ 8 Flavor Gummi Bears™.  Our unique, true to fruit flavors include Alphonso Mango, Asian Pear, Black Currant, Blood Orange, Crimson Cranberry, Fuji Apple, Queen Pineapple & Rubus Raspberry.  It's More Than Ultimate, It's Albanese.	Brands: Albanese® World's Best Gummies	['Special Attributes', 'Snacks', 'Supplements', 'Vitamins & Minerals']	[['Allergy Free', 'Dairy Free', 'Gluten/Wheat Free'], ['Trail Mix & Snack Mixes'], ['Antioxidants', 'Collagen', 'Eye Health Supplements', 'Fitness & Weight Management', 'Glucosamine & Joint Health', 'Hair, Skin & Nail Supplements', 'Melatonin & Sleep Aids', 'Omegas, Fish Oil & EFAs', 'Probiotics & Digestion'], ["Children's Vitamins", 'Multivitamins', 'Vitamins']]
74	Alec's Ice Cream	Booth: F91	['Petaluma,', 'CA', 'United States']	N/A	N/A	[]	[]
75	Alexandre Family Farm	Booth: N836, F2	['Crescent City,', 'CA', 'United States']	NEXTY Award Winner Alexandre Family Farm is America's 1st Certified Regenerative Dairy.  A true family farm, run by the 4th and 5th generation Alexandre dairy farmers,  the family produces and markets 100% A2/A2 organic dairy products (the gut-friendly milk) from their grass-based cows.    The Alexandres also have mobile coop pastured organic eggs.   With their regenerative farming practices healing the soil and sequestering carbon, the Alexandres nutritious products also make the Earth better.	Brands: Alexandre Family Farm; Alexandre Kids Eggs; Alexandre Eco Dairy	['Dairy & Eggs']	[['Cream', 'Milk', 'Yogurt', 'Butter', 'Cheese', 'Eggs', 'Kefir & Drinkable Yogurt']]
76	AlgaeCytes GmBH	Booth: 3799A	['Sandwich,', 'Kent', 'United Kingdom']	N/A	N/A	[]	[]
77	ALICE'S SWEET TOOTH	Booth: N1742	['WEST HOLLYWOOD,', 'CA', 'United States']	Alice’s Sweet Tooth produces two lines of sweet snacks for retail and wholesale distribution. Cookie Bites Mini-Cookies –Gluten-Free, Plant-based/Vegan, crispy mini-cookies in three flavors – Chocolate Chip, Double Chocolate and Lemon Almond.  Certified non-GMO, Gluten-Free, Kosher. French Meringues Kisses – organic meringue kisses in six flavors. Fat-Free, Gluten-Free, Lo-Cal.  Made with fresh organic eggs.  Certified non-GMO.	Brands: Alice's Sweet Tooth Cookie Bites Alice's Sweet Tooth French Meringue Kisses	['Special Attributes', 'Bakery']	[['Dairy Free', 'Egg Free', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Ingredients', 'Specialty/Gourmet', 'Vegan', 'Cocoa', 'Sustainability'], ['Cookies']]
78	Alive Publishing Group	Booth: 3456	['Richmond,', 'BC', 'Canada']	For over 40 years, Alive Publishing Group has been a recognized leader in health and wellness. The APG brand exemplifies natural health and wellness, editorial integrity, and the empowerment of those we touch to make healthy, natural, and sustainable lifestyle choices. With more than 17 different touch points, APG is the number one source for both consumers and retailers interested in advancing their knowledge and positions in the natural health industry throughout North America.  	Brands: alive Magazine With bimonthly distribution of almost 300,000 copies, alive focuses on  health and fitness and plant-based food. delicious living Magazine  Exploring contemporary natural health care methods and expert advice.	['Services']	[['Customer Services', 'Education', 'Internet Services', 'Training']]
79	Alkemist Labs	Booth: 4318	['Garden Grove,', 'CA', 'United States']	N/A	N/A	['Services']	[['Analytical Laboratories']]
80	Allen Family Foods Inc	Booth: 1959	['Abbotsford,', 'BC', 'Canada']	N/A	N/A	['Special Attributes']	[['Convenience', 'Dairy Free', 'Egg Free', 'Gluten/Wheat Free', 'Organic Ingredients', 'Vegan']]
81	Allgot Co.,Ltd.	Booth: 8016	['Gumi-si,', 'Korea, Republic of']	N/A	N/A	[]	[]
82	Allied Distribution	Booth: 5211	['Buena Park,', 'CA', 'United States']	Allied Distribution and it's 3PL Supply Chain Partners provide Transportation & Warehousing to customers from Distribution Centers in 13 cities across the country. The Allied Network has operations in; Cranbury, NJ (Port Jersey Logistics), Tampa, FL (Star Distribution), Atlanta / Dallas, (Shippers Group), Chicago, IL (Midwest Warehouses), Hayward/Stockton/Sacramento/Modesto/Livermore, CA (Prism Logistics), Los Angeles/Phoenix, (States Logistics), and Seattle, WA (Holman Logistics). 	Brands: Warehousing, Fulfillment and Transportation Services	['Packaging']	[['Packaging Material']]
83	ALLIED OLD ENGLISH, INC.	Booth: 871	['Port Reading,', 'NJ', 'United States']	A privately owned food manufacturer, specializing in 100% all fruit and organic fruit spreads, Brown Rice Organic Honey, and numerous varieties of condiments.	Brands: Sorrell Ridge, Sun Luck, Plantation, Fruit to the Max,  Grandmother's, Ah So, Mee Tu, Saucy Susan, Dai Day.	['Special Attributes']	[['Kosher/Parve']]
84	ALLMAX NATURALS	Booth: 4439	['Oakland,', 'CA', 'United States']	ALLMAX Naturals introduces ISONATURAL 27 g of Protein with 0 g Fat with Zero Sugar  Naturally Flavored, Zero Dyes or Coloring   ISONATURAL contains 27 grams of pure whey protein in every scoop with all the native protein structures intact and is fat free and 99% lactose free.  All-natural flavors and plant-based stevia to add a delicious hint of sweetness. Formulated with prebiotics that have been shown to improve intestinal microflora, ISONATURAL is the natural choice to suit your healthy lifestyle.	Brands: ALLMAX Naturals Cytogreens IsoNatural IsoTRU Collagen	[]	[]
85	ALLWELLO	Booth: N733	['Miami,', 'FL', 'United States']	N/A	N/A	[]	[]
86	Almond Breeze	Booth: 5779	['Lynnfield,', 'MA', 'United States']	Planet Oat Oatmilk is the top-selling oatmilk in the United States. The Planet Oat family of plant-based products, including Oatmilk, Oatmilk Coffee Creamer, and Non-Dairy Frozen Desserts, is known for delivering rich, creamy, and delicious taste. Planet Oat is owned by HP Hood LLC, one of the country’s largest food and beverage companies. For more information about Planet Oat, please visit www.planetoat.com.	Brands: Planet Oat	['Dairy Alternatives', 'Special Attributes']	[['Milk'], ['Vegan']]
87	Almond Brothers	Booth: N1841	['Phoenix,', 'AZ', 'United States']	We are a specialty nut company featuring custom gourmet almonds, pecans, cashews and snack mixes.  We sell brand name individual bags, club pack and bulk and package private label.    We are excited to present Walts Pretzels featuring 4 savory flavors.  SQF certified, gluten free facility,  peanut free facility, Kosher, nonGMO	Brands: Almond Brothers  and Walts' Pretzels.	['Services', 'Special Attributes']	[['Contract Manufacturing'], ['Full Line', 'Gluten/Wheat Free', 'Kosher/Parve']]
88	ALO Drinks by SPI West Port, Inc.	Booth: N504	['South San Francisco,', 'CA', 'United States']	ALO Drink is the leading aloe vera infused beverage brand in the U.S. (via latest SPINS data for natural and conventional markets). All beverages are made with aloe vera juice and pulp peeled straight from the leaf, never from powder. Each of our products are made with project verified non-gmo ingredients, aloin- free, fat-free, gluten-free, vegetarian friendly and made without artificial flavors, preservatives or colors. Come by the booth to try our beverage and learn more about the brand.	Brands: ALO Drink, ALO COCO, ALO Organic,ALO Light, ALO Snacks, Woodridge Snacks JEN Collagen Drink	['Special Attributes']	[['Functional Beverage', 'Specialty/Gourmet', 'Vegan']]
89	Aloe Jaumave	Booth: 1760	['Jaumave,', 'Tampz', 'Mexico']	Aloe Jaumave is a 100% Mexican company dedicated to cultivate, process and trade products based on Aloe Vera. We have been in the aloe market for 30 years. We have the whole production chain under our responsibility with the idea of assuring Aloe quality. We have been granted with certifications & accreditations such OCIA International, under the programs NOP and Compliance with the EU Regulation 834/2007. Our company works under modern sanitary conditions, FDA regulations and FSSC 22000 V4.1	Brands: Aloe Jaumave	['Raw Ingredients', 'Special Attributes']	[['Fruits & Vegetables'], ['Ethnic', 'Functional Beverage', 'Organic Ingredients']]
90	Aloecorp, Inc.	Booth: 3305	['Mercedes,', 'TX', 'United States']	Sustainable farming, state-of-the-art manufacturing, and advanced scientific research place Aloecorp’s products among the most dependable available. We control our processes every step of the way. It begins at our farms where the aloe vera is grown without the use of pesticides, herbicides or other harmful chemicals. We then process the aloe vera juice, concentrates or powder using state-of-the-art procedures and techniques developed in our research laboratories.	Brands: Aloecorp's ACTIValoe® guarantees 10% polysaccharide (dry weight) retention through our unique process.	['Raw Ingredients', 'Special Attributes']	[['Branded Ingredients', 'Herbs', 'Other'], ['Kosher/Parve', 'Organic Ingredients']]
91	Aloha	Booth: N1107	['Darien,', 'CT', 'United States']	Aloha is on a mission to make healthy living simple and accessible to everyone through clean, organic, plant-based food. With a focus on our Protein Powder, Protein Bar, and Ready to Drink categories, Aloha creates organic products meant to be savored and enjoyed without sacrificing taste or nutrition. Every item is formulated to the highest standard, nutrient-rich, and thoughtfully packaged with deep respect for both people and the environment.	Brands: ALOHA Protein Powders, Protein Bars, Ready to Drink	['Special Attributes']	[['Convenience', 'Dairy Free', 'Functional Food', 'Gluten/Wheat Free', 'Organic Processed/Packaged', 'Vegan']]
92	ALPINE TORTILLA LLC	Booth: 5692	['Waltham,', 'MA', 'United States']	N/A	N/A	[]	[]
93	Alter Eco	Booth: 1556	['San Francisco,', 'CA', 'United States']	Alter Eco® is the cleanest, greenest chocolate on Earth. The company aims to leave the planet in better condition than it was found. Alter Eco offers a full portfolio of melt-in-your-mouth chocolate bars, blissfully indulgent truffles, keto-friendly Nut Butter Bombs, & crunchy mouthwatering granola. Alter Eco products are always Organic, Non-GMO, and free from soy & artificial ingredients. They’re also always Carbon Neutral Certified & packaged in no-waste packaging.	N/A	['Special Attributes']	[['Cocoa', 'Full Line Organic', 'Gluten/Wheat Free', 'Organic Processed/Packaged', 'Packaged Grains/Cereal', 'Specialty/Gourmet', 'Vegan']]
94	Altist Co. Ltd.	Booth: 8914	['Houston,', 'TX', 'United States']	N/A	N/A	[]	[]
95	Aluminate by Lagersmith	Booth: 8917	['STILLWATER,', 'MN', 'United States']	N/A	N/A	[]	[]
96	Alvarado Street Bakery	Booth: 5684	['Petaluma,', 'CA', 'United States']	*** Freshly Sprouting Goodness! ***   Alvarado Street Bakery, a solar-powered bakery, is worker-owned & operated by bakers who sprout & harvest freshly sprouted organic whole wheat every day to create the unique dough used for baking delicious and nutritious breads, bagels & buns.   #nonGMO #organic #USDA #KETO #Sprouted	Brands: Alvarado Street Bakery	['Bakery', 'Special Attributes']	[['Bagels'], ['Dairy Free', 'Dietetic', 'Food Service Ready', 'Functional Food', 'Kosher/Parve', 'Organic Processed/Packaged', 'Trans Fat Free', 'Vegan']]
97	Alya Foods LLC	Booth: 1915	['North Brunswick,', 'NJ', 'United States']	Founded in 2011 in New York by an Algerian Immigrant entrepreneur, partnered with local families growing Dates for generations in Algeria. We work directly at the source with the local farmers to grow the highest quality of Dates. Our dates have been sold in Costco and other major retailers for years.  We have been a trusted supplier for Sunny Fruit, Made in Nature, Natural Delights, and many other brands.	Brands: Alya Sahara	['Fresh Fruit & Vegetables', 'Special Attributes']	[['USDA Vegetable'], ['Allergy Free', 'Kosher/Parve', 'Organic Ingredients']]
